name,pick_count,ban_count,pick_rate,ban_rate,win_rate,dragon_kill_rate,baron_kill_rate,best_role
Tristana,10982,10247,0.2509253758625417,0.23413151761641454,0.5150245856856674,1.3981059916226553,0.4101256601711892,ADC
Thresh,11197,5014,0.255837865009368,0.11456381666133528,0.4728945253192819,1.4010002679289095,0.3988568366526749,Support
Vayne,8916,7410,0.20371978247955036,0.1693095096650368,0.5145805293853746,1.369896814715119,0.40746971736204574,ADC
Kayn,8204,14601,0.1874514463282,0.3336151350363296,0.4859824475865431,1.2813261823500732,0.3525109702584105,Jungle
Lee Sin,7929,5570,0.1811680299776082,0.1272677420828954,0.5259175179720015,1.4608399545970487,0.39122209610291336,Jungle
Janna,7483,16977,0.17097747109628478,0.38790385230544255,0.5346786048376321,1.3633569424027796,0.4090605372176934,Support
Yasuo,6664,28367,0.15226431476488594,0.6481515331535895,0.5490696278511404,1.3557923169267707,0.3704981992797119,Middle
Twitch,7544,12945,0.1723712470867797,0.2957775442124023,0.4414103923647933,1.3377518557794277,0.4015111346765641,ADC
Jinx,6766,709,0.1545948910112873,0.01619978979116209,0.5107892403192432,1.374963050546852,0.3808749630505469,ADC
Lucian,7055,1115,0.16119819037609104,0.025476397203308503,0.42452161587526577,1.4216867469879515,0.406094968107725,ADC
Jhin,7036,1488,0.16076406342823196,0.033998994653383914,0.4015065378055713,1.4300739056281984,0.3746446844798181,ADC
Lux,6055,986,0.13834940364666634,0.02252890371521272,0.5707679603633361,1.3843104872006606,0.3565648224607762,Support
Ahri,5461,3887,0.1247772243293881,0.08881323401727369,0.6134407617652444,1.4427760483427945,0.4015748031496063,Middle
Blitzcrank,5959,15862,0.1361559201206416,0.3624274551021341,0.5123342842758852,1.4747440845779494,0.4098003020641047,Support
Caitlyn,6046,9474,0.13814376456610153,0.2164694054745693,0.4611313264968575,1.3949718822361892,0.3681773073106186,ADC
Orianna,5565,2393,0.12715349814924828,0.05467714664351323,0.5153638814016173,1.3615453728661275,0.4086253369272237,Middle
Zed,5472,21201,0.12502856098341178,0.4844171274505324,0.5073099415204678,1.4142909356725146,0.37755847953216376,Middle
Jax,5669,4207,0.12952977196910845,0.09612484577068957,0.5039689539601341,1.4362321397071791,0.4051860998412418,Top
Xayah,6437,5313,0.1470776401773066,0.12139560389343325,0.4171197762933043,1.4113717570296722,0.3966133291906168,ADC
Master Yi,5128,9554,0.11716857834848968,0.21829730841292327,0.5544071762870515,1.4886895475819033,0.4001560062402496,Jungle
Lulu,5694,11251,0.13010099163734407,0.2570716994927569,0.4755883386020373,1.323674042852125,0.4055145767474535,Support
Soraka,5128,3678,0.11716857834848968,0.08403783759082392,0.6230499219968799,1.3250780031201248,0.3892355694227769,Support
Morgana,5102,2745,0.11657450989352465,0.06271991957227073,0.515484123872991,1.4023912191297527,0.3592708741669933,Support
Riven,5218,3791,0.11922496915413792,0.08661975049124891,0.499808355691836,1.3443848217707934,0.3798390187811422,Top
Warwick,5030,4883,0.11492939724900607,0.11157062559978063,0.5143141153081511,1.595427435387674,0.4186878727634195,Jungle
Gragas,5333,1488,0.12185257962802175,0.033998994653383914,0.5239077442340146,1.2790174385899118,0.41515094693418336,Jungle
Miss Fortune,5267,1063,0.12034455970387972,0.024288260293378418,0.4951585342699829,1.4558572242263148,0.3745965445224986,ADC
Rakan,5578,1682,0.1274505323767308,0.038431659278892284,0.43868770168519183,1.3243097884546433,0.3985299390462531,Support
Ashe,4654,427,0.1063382534387424,0.009756431933464331,0.5577997421572839,1.3650623119896863,0.3809626128061882,ADC
Jarvan IV,5028,1635,0.11488369967554725,0.03735776630260933,0.4120922832140016,1.3780827366746222,0.4301909307875895,Jungle
Ezreal,4347,637,0.09932367591280902,0.014554677146643512,0.5093167701863354,1.3666896710374972,0.34276512537382103,ADC
Ekko,4148,2283,0.09477676735365352,0.05216378010327652,0.5831726133076182,1.4257473481195757,0.3705400192864031,Jungle
Kha'Zix,3745,1968,0.08556870630169539,0.044966412283507735,0.5425901201602136,1.4363150867823764,0.3847797062750334,Jungle
Leona,4220,1464,0.0964218799981721,0.03345062377187771,0.4831753554502371,1.4829383886255925,0.3917061611374408,Support
Nasus,3688,6890,0.08426632545811817,0.15742814056573595,0.5873101952277657,1.3096529284164857,0.3478850325379609,Top
Draven,4327,17648,0.09886670017822054,0.40323538820088656,0.41483706956320776,1.4005084354055928,0.3815576611971343,ADC
Teemo,3476,3366,0.07942238267148015,0.07690901613124343,0.4994246260069045,1.503739930955121,0.3935558112773303,Top
Gangplank,3522,684,0.08047342686103368,0.015628570122926472,0.5283929585462805,1.380465644520159,0.4114139693356048,Top
Sona,4438,492,0.10140291550518668,0.011241603070876936,0.407616043262731,1.35601622352411,0.3916178458765209,Support
Nami,3921,206,0.08959009276607413,0.004706850066261482,0.4373884213210916,1.4200459066564652,0.39836776332568224,Support
Ornn,3730,4844,0.08522597450075399,0.11067952291733307,0.4471849865951743,1.2249329758713137,0.31447721179624666,Top
Maokai,3643,6436,0.08323813005529407,0.14705479139057714,0.5981334065330771,1.3510842712050508,0.4367279714520999,Top
Malzahar,3238,4606,0.07398437142987707,0.10524151167573002,0.5253242742433601,1.4604694255713404,0.4227918468190241,Middle
Darius,3316,19593,0.0757665767947722,0.4476762783896175,0.537394451145959,1.462907117008444,0.3902291917973462,Top
Cho'Gath,3461,21115,0.07907965087053878,0.4824521317918018,0.4877203120485409,1.4790522970239814,0.4495810459404797,Top
Veigar,3373,1086,0.07706895763834941,0.024813782388155188,0.5443225615179366,1.356952268010673,0.3578416839608657,Middle
Garen,3353,1549,0.07661198190376091,0.035392770643878815,0.5621831195943929,1.401729794214137,0.38144944825529375,Top
Sejuani,3131,4129,0.07153955124982864,0.09434264040579446,0.596295113382306,1.2951133823059726,0.4203129990418397,Jungle
Tryndamere,3517,5115,0.08035918292738656,0.11687154412100716,0.4117145294284902,1.4455501848166048,0.4213818595393802,Top
Renekton,3286,1928,0.07508111319288946,0.044052460814330764,0.5255629945222154,1.44796104686549,0.4013998782714547,Top
Fizz,2954,11501,0.06749531599872048,0.2627838961751131,0.5548408937034529,1.375423155044008,0.3612051455653351,Middle
Syndra,3177,3940,0.07259059543938216,0.09002421971393319,0.5225055083412024,1.33679571923198,0.3742524394082468,Middle
Brand,3350,2480,0.07654343554357264,0.05666499108897316,0.4486567164179104,1.5483582089552241,0.4474626865671642,Support
Katarina,2887,5490,0.06596444728784903,0.12543983914454146,0.4970557672324212,1.4094215448562522,0.35711811569102875,Middle
Gnar,3243,1641,0.0740986153635242,0.03749485902298588,0.4298489053345668,1.3814369411039158,0.3906876349059513,Top
Sivir,3224,256,0.07366448841566513,0.005849289402732715,0.4196650124069479,1.3889578163771712,0.4112903225806452,ADC
Bard,3170,444,0.0724306539322762,0.010144861307864551,0.5164037854889589,1.4239747634069397,0.3962145110410095,Support
Braum,3237,1197,0.07396152264314765,0.027349997715121328,0.4633920296570899,1.4291010194624651,0.42168674698795183,Support
Talon,2703,2505,0.06176027052963488,0.057236210757208784,0.6026637069922308,1.467998520162782,0.3999260081391047,Middle
Twisted Fate,3051,239,0.06971164831147468,0.005460860028332496,0.5119632907243526,1.338577515568666,0.3995411340544084,Middle
Vel'Koz,2696,348,0.0616003290225289,0.007951377781839785,0.4814540059347181,1.4462166172106825,0.4054154302670624,Support
Xin Zhao,2765,1201,0.0631768953068592,0.027441392862039025,0.4907775768535262,1.6007233273056058,0.4188065099457505,Jungle
Diana,2618,1357,0.059818123657633775,0.031005803591829275,0.5412528647822765,1.4117647058823528,0.37433155080213903,Middle
Alistar,2826,569,0.06457067129735411,0.013000959649042637,0.5010615711252654,1.3849964614295824,0.3888888888888889,Support
Kassadin,2622,4612,0.059909518804551476,0.10537860439610656,0.5736079328756675,1.3443935926773456,0.412280701754386,Middle
Kalista,3014,735,0.06886624320248595,0.01679385824612713,0.4684804246848042,1.4134041141340412,0.4429329794293298,ADC
Fiora,2660,13134,0.060777772700269614,0.3000959649042636,0.4402255639097744,1.3620300751879701,0.3793233082706767,Top
Karma,2698,178,0.06164602659598775,0.004067084037837591,0.4936990363232024,1.3042994810971091,0.3791697553743514,Support
Annie,2809,1819,0.0641822419229539,0.04156194306082347,0.5001779992880029,1.409754360982556,0.3948024207903169,Middle
Shen,2700,196,0.0616917241694466,0.0044783621989672355,0.4455555555555555,1.3962962962962964,0.3907407407407407,Top
Vi,2594,494,0.05926975277612759,0.011287300644335786,0.4259830377794912,1.5905936777178102,0.3851195065535852,Jungle
Cassiopeia,2361,1335,0.053945985468171635,0.030503130283781925,0.5561202880135536,1.391783142736129,0.4845404489623041,Middle
Galio,2377,1868,0.05431156605584243,0.04268153361056528,0.5422801851072779,1.373159444678166,0.3874631888935633,Middle
Vladimir,2707,2651,0.06185166567655258,0.0605721336197048,0.5149612116734392,1.3494643516808276,0.3616549685999261,Middle
Jayce,2753,1868,0.0629027098661061,0.04268153361056528,0.4776607337450055,1.3981111514711224,0.3973846712677079,Top
Elise,2260,1088,0.05163825800849975,0.024859479961614042,0.5823008849557522,1.354424778761062,0.4292035398230089,Jungle
Varus,2458,130,0.056162317780925834,0.0029703422748252072,0.4222945484133442,1.3995117982099268,0.4011391375101709,ADC
Kog'Maw,2578,1224,0.05890417218845679,0.027966914956815792,0.5116369278510473,1.3421256788207914,0.4503491078355314,ADC
Akali,2539,3870,0.05801306950600923,0.08842480464287346,0.4797164237888933,1.4423001181567543,0.3627412367073651,Middle
Pantheon,2270,2308,0.051866745875794006,0.05273499977151213,0.5052863436123348,1.5013215859030835,0.3898678414096916,Middle
Zac,2191,14676,0.05006169172416945,0.33532879404103644,0.5084436330442721,1.1775445002282063,0.4107713372889092,Jungle
Ziggs,2001,233,0.04572042224557876,0.005323767307955947,0.6456771614192903,1.414292853573213,0.3803098450774613,Middle
Irelia,2008,991,0.045880363752684734,0.022643147648859847,0.49900398406374497,1.3959163346613546,0.4243027888446215,Top
Anivia,1880,762,0.042955719051318376,0.017410775487821595,0.5308510638297872,1.400531914893617,0.4441489361702128,Middle
Corki,2107,565,0.048142393638897774,0.012909564502124935,0.4769814902705268,1.3649738965353584,0.4129093497864262,Middle
Shaco,2226,1337,0.05086139925969931,0.030548827857240782,0.4842767295597484,1.435759209344115,0.3872416891284816,Jungle
